Grade;Zx;Zy;A
B30;-0.25;-0.2;0
B30;-0.25;-0.15000000000000002;0
B30;-0.25;-0.1;0
B30;-0.25;-0.049999999999999989;0
B30;-0.25;0;0
B30;-0.25;0.049999999999999989;0
B30;-0.25;0.10000000000000003;0
B30;-0.25;0.15000000000000002;0
B30;-0.25;0.2;0
B30;0.25;-0.2;0
B30;0.25;-0.15000000000000002;0
B30;0.25;-0.1;0
B30;0.25;-0.049999999999999989;0
B30;0.25;0;0
B30;0.25;0.049999999999999989;0
B30;0.25;0.10000000000000003;0
B30;0.25;0.15000000000000002;0
B30;0.25;0.2;0
B30;-0.2;-0.2;0
B30;-0.15000000000000002;-0.2;0
B30;-0.1;-0.2;0
B30;-0.049999999999999989;-0.2;0
B30;0;-0.2;0
B30;0.049999999999999989;-0.2;0
B30;0.10000000000000003;-0.2;0
B30;0.15000000000000002;-0.2;0
B30;0.2;-0.2;0
B30;-0.2;0.2;0
B30;-0.15000000000000002;0.2;0
B30;-0.1;0.2;0
B30;-0.049999999999999989;0.2;0
B30;0;0.2;0
B30;0.049999999999999989;0.2;0
B30;0.10000000000000003;0.2;0
B30;0.15000000000000002;0.2;0
B30;0.2;0.2;0
B30;-0.225;-0.17500000000000002;0.0025
B30;-0.175;-0.17500000000000002;0.0025
B30;-0.125;-0.17500000000000002;0.0025
B30;-0.074999999999999983;-0.17500000000000002;0.0025
B30;-0.024999999999999994;-0.17500000000000002;0.0025
B30;0.024999999999999994;-0.17500000000000002;0.0025
B30;0.075000000000000039;-0.17500000000000002;0.0025
B30;0.12500000000000003;-0.17500000000000002;0.0025
B30;0.17500000000000002;-0.17500000000000002;0.0025
B30;0.225;-0.17500000000000002;0.0025
B30;-0.225;-0.125;0.0025
B30;-0.175;-0.125;0.0025
B30;-0.125;-0.125;0.0025
B30;-0.074999999999999983;-0.125;0.0025
B30;-0.024999999999999994;-0.125;0.0025
B30;0.024999999999999994;-0.125;0.0025
B30;0.075000000000000039;-0.125;0.0025
B30;0.12500000000000003;-0.125;0.0025
B30;0.17500000000000002;-0.125;0.0025
B30;0.225;-0.125;0.0025
B30;-0.225;-0.075000000000000011;0.0025
B30;-0.175;-0.075000000000000011;0.0025
B30;-0.125;-0.075000000000000011;0.0025
B30;-0.074999999999999983;-0.075000000000000011;0.0025
B30;-0.024999999999999994;-0.075000000000000011;0.0025
B30;0.024999999999999994;-0.075000000000000011;0.0025
B30;0.075000000000000039;-0.075000000000000011;0.0025
B30;0.12500000000000003;-0.075000000000000011;0.0025
B30;0.17500000000000002;-0.075000000000000011;0.0025
B30;0.225;-0.075000000000000011;0.0025
B30;-0.225;-0.024999999999999994;0.0025
B30;-0.175;-0.024999999999999994;0.0025
B30;-0.125;-0.024999999999999994;0.0025
B30;-0.074999999999999983;-0.024999999999999994;0.0025
B30;-0.024999999999999994;-0.024999999999999994;0.0025
B30;0.024999999999999994;-0.024999999999999994;0.0025
B30;0.075000000000000039;-0.024999999999999994;0.0025
B30;0.12500000000000003;-0.024999999999999994;0.0025
B30;0.17500000000000002;-0.024999999999999994;0.0025
B30;0.225;-0.024999999999999994;0.0025
B30;-0.225;0.024999999999999994;0.0025
B30;-0.175;0.024999999999999994;0.0025
B30;-0.125;0.024999999999999994;0.0025
B30;-0.074999999999999983;0.024999999999999994;0.0025
B30;-0.024999999999999994;0.024999999999999994;0.0025
B30;0.024999999999999994;0.024999999999999994;0.0025
B30;0.075000000000000039;0.024999999999999994;0.0025
B30;0.12500000000000003;0.024999999999999994;0.0025
B30;0.17500000000000002;0.024999999999999994;0.0025
B30;0.225;0.024999999999999994;0.0025
B30;-0.225;0.074999999999999983;0.0025
B30;-0.175;0.074999999999999983;0.0025
B30;-0.125;0.074999999999999983;0.0025
B30;-0.074999999999999983;0.074999999999999983;0.0025
B30;-0.024999999999999994;0.074999999999999983;0.0025
B30;0.024999999999999994;0.074999999999999983;0.0025
B30;0.075000000000000039;0.074999999999999983;0.0025
B30;0.12500000000000003;0.074999999999999983;0.0025
B30;0.17500000000000002;0.074999999999999983;0.0025
B30;0.225;0.074999999999999983;0.0025
B30;-0.225;0.12500000000000003;0.0025
B30;-0.175;0.12500000000000003;0.0025
B30;-0.125;0.12500000000000003;0.0025
B30;-0.074999999999999983;0.12500000000000003;0.0025
B30;-0.024999999999999994;0.12500000000000003;0.0025
B30;0.024999999999999994;0.12500000000000003;0.0025
B30;0.075000000000000039;0.12500000000000003;0.0025
B30;0.12500000000000003;0.12500000000000003;0.0025
B30;0.17500000000000002;0.12500000000000003;0.0025
B30;0.225;0.12500000000000003;0.0025
B30;-0.225;0.17500000000000002;0.0025
B30;-0.175;0.17500000000000002;0.0025
B30;-0.125;0.17500000000000002;0.0025
B30;-0.074999999999999983;0.17500000000000002;0.0025
B30;-0.024999999999999994;0.17500000000000002;0.0025
B30;0.024999999999999994;0.17500000000000002;0.0025
B30;0.075000000000000039;0.17500000000000002;0.0025
B30;0.12500000000000003;0.17500000000000002;0.0025
B30;0.17500000000000002;0.17500000000000002;0.0025
B30;0.225;0.17500000000000002;0.0025
A500;0.21;-0.16;0.0006158
A500;0.21;0;0.0001539
A500;0.21;0.16;0.0006158
A500;0;-0.16;0.0001539
A500;0;0.16;0.0001539
A500;-0.21;-0.16;0.0006158
A500;-0.21;0;0.0001539
A500;-0.21;0.16;0.0006158
